Added,Playtime,Platform,Genres,Stores,Tag,Esrb_rating
16264,71,3,Action,5,Steam Achievements,Mature
14695,48,4,Action,5,Atmospheric,Mature
14143,11,5,Shooter,4,Steam Achievements,Mature
12746,11,4,Action,5,Multiplayer,Mature
12442,46,4,Action,4,Steam Achievements,Mature
12115,9,4,Shooter,2,Steam Achievements,Mature
12095,62,3,Shooter,3,Steam Achievements,Mature
11971,4,6,Puzzle,2,Steam Achievements,Mature
11884,12,5,Action,6,Steam Achievements,Mature
11875,10,4,Action,6,Steam Achievements,Mature
11838,7,7,Adventure,7,steam-trading-cards,Mature
11079,21,3,Action,4,Multiplayer,Mature
10850,3,5,Action,5,Atmospheric,Mature
10824,7,5,Shooter,2,Steam Achievements,Mature
10691,3,8,Platformer,9,Atmospheric,Mature
10229,11,4,Shooter,4,Multiplayer,Mature
10086,43,3,RPG,3,Steam Achievements,Mature
9984,9,3,Shooter,1,Steam Achievements,Mature
9904,4,4,Massively Multiplayer,3,Multiplayer,Mature
9818,9,3,Shooter,4,Steam Achievements,Mature
9666,9,3,Action,4,Multiplayer,Teen
9580,18,6,Indie,5,Steam Achievements,Teen
9528,9,2,RPG,3,Atmospheric,Teen
9488,20,2,Action,3,Atmospheric,Teen
9242,13,3,Action,1,Multiplayer,Teen
9213,2,2,Action,2,Steam Achievements,Teen
9197,27,3,Shooter,4,Steam Achievements,Teen
9017,7,4,Shooter,4,Multiplayer,Teen
8990,9,7,Adventure,9,Atmospheric,Teen
8937,15,4,Action,4,Steam Achievements,Teen
8920,13,8,Indie,7,Steam Achievements,Teen
8572,7,3,RPG,4,Steam Achievements,Teen
8572,20,3,Action,5,Steam Achievements,Teen
8565,1,3,Action,1,Multiplayer,Teen
8510,14,5,RPG,5,Steam Achievements,Teen
8365,7,5,Shooter,4,Atmospheric,Teen
8344,2,6,Action,6,Multiplayer,Teen
8302,3,5,Shooter,5,Steam Achievements,Teen
8271,5,2,RPG,2,Atmospheric,Teen
8194,4,5,Shooter,2,Steam Achievements,Teen
8169,3,3,Action,4,Atmospheric,Teen
